Fsm,No_of_testcases,No_of_threads,Time taken,d,d
pma.test,16384,1,31.3762,16.98608,18.220236
pma.test,8192,32,1.622277,12.379488,13.140389
pma.test,8192,16,3.249304,12.379488,13.140389
pma.test,8192,8,2.835423,12.379488,13.140389
pma.test,8192,1,14.54057,12.379488,13.140389
pma.test,4096,32,5.077263,10.22464,10.729741
pma.test,4096,16,1.636455,10.22464,10.729741
pma.test,4096,8,1.701268,10.22464,10.729741
pma.test,4096,1,7.271333,10.22464,10.729741
pma.test,256,32,0.069981,9.872576,10.067016
pma.test,256,16,0.130534,9.872576,10.067016
pma.test,256,8,0.132629,9.872576,10.067016
pma.test,256,1,0.926586,9.872576,10.067016
s1.test,1310720,32,172.392225,1170.153568,1246.880314
s1.test,1310720,16,156.27254,1170.153568,1246.880314
s1.test,1310720,8,317.764122,1170.153568,1246.880314
s1.test,1310720,1,1950.854574,1170.153568,1246.880314
s1.test,1048576,32,152.082822,929.153952,995.6093
s1.test,1048576,16,168.178622,929.153952,995.6093
s1.test,1048576,8,256.02617,929.153952,995.6093
s1.test,1048576,1,1663.843388,929.153952,995.6093
s1.test,524288,32,54.178245,469.687776,523.687856
s1.test,524288,16,63.707202,469.687776,523.687856
s1.test,524288,8,159.776905,469.687776,523.687856
s1.test,524288,1,822.30334,469.687776,523.687856
s1.test,262144,32,27.136265,241.507424,256.851627
s1.test,262144,16,58.352737,241.507424,256.851627
s1.test,262144,8,93.991641,241.507424,256.851627
s1.test,262144,1,410.946721,241.507424,256.851627
s1.test,131072,32,17.134132,129.079392,139.810004
s1.test,131072,16,26.603864,129.079392,139.810004
s1.test,131072,8,33.658409,129.079392,139.810004
s1.test,131072,1,222.536429,129.079392,139.810004
s1.test,65536,32,12.336234,75.216992,81.272325
s1.test,65536,16,14.617885,75.216992,81.272325
s1.test,65536,8,17.060519,75.216992,81.272325
s1.test,65536,1,103.997196,75.216992,81.272325
s1.test,32768,32,5.586128,42.941664,45.188952
s1.test,32768,16,9.409947,42.941664,45.188952
s1.test,32768,8,8.826492,42.941664,45.188952
s1.test,32768,1,62.113699,42.941664,45.188952
s1.test,16384,32,3.169824,22.345216,23.590555
s1.test,16384,16,3.807546,22.345216,23.590555
s1.test,16384,8,5.659183,22.345216,23.590555
s1.test,16384,1,30.372229,22.345216,23.590555
s1.test,8192,32,1.523242,16.11328,16.960506
s1.test,8192,16,3.224091,16.11328,16.960506
s1.test,8192,8,3.186097,16.11328,16.960506
s1.test,8192,1,15.858688,16.11328,16.960506
s1.test,4096,32,5.099124,12.855104,13.362904
s1.test,4096,16,1.069552,12.855104,13.362904
s1.test,4096,8,1.82377,12.855104,13.362904
s1.test,4096,1,10.037334,12.855104,13.362904
s1.test,256,32,0.063137,12.30656,12.488908
s1.test,256,16,0.113213,12.30656,12.488908
s1.test,256,8,0.140661,12.30656,12.488908
s1.test,256,1,1.048529,12.30656,12.488908
s386.test,212992,32,23.406592,572.394208,584.8603
s386.test,212992,16,24.702849,572.394208,584.8603
s386.test,212992,8,46.258434,572.394208,584.8603
s386.test,212992,1,281.276366,572.394208,584.8603
s386.test,131072,32,15.995856,388.217504,396.239996
s386.test,131072,16,20.934205,388.217504,396.239996
s386.test,131072,8,28.596231,388.217504,396.239996
s386.test,131072,1,171.496789,388.217504,396.239996
s386.test,65536,32,9.274036,205.132928,217.076922
s386.test,65536,16,13.900054,205.132928,217.076922
s386.test,65536,8,16.950728,205.132928,217.076922
s386.test,65536,1,85.106342,205.132928,217.076922
s386.test,32768,32,8.78773,115.569888,117.717827
s386.test,32768,16,6.229857,115.569888,117.717827
s386.test,32768,8,8.284872,115.569888,117.717827
s386.test,32768,1,52.883663,115.569888,117.717827
s386.test,16384,32,3.009119,50.650048,51.910353
s386.test,16384,16,5.491773,50.650048,51.910353
s386.test,16384,8,5.786154,50.650048,51.910353
s386.test,16384,1,28.005023,50.650048,51.910353
s386.test,8192,32,5.638928,26.972128,27.754781
s386.test,8192,16,2.92035,26.972128,27.754781
s386.test,8192,8,3.480828,26.972128,27.754781
s386.test,8192,1,13.963959,26.972128,27.754781
s386.test,4096,32,5.020552,19.017824,19.616297
s386.test,4096,16,0.971006,19.017824,19.616297
s386.test,4096,8,1.732067,19.017824,19.616297
s386.test,4096,1,9.539574,19.017824,19.616297
s386.test,256,32,0.076965,18.442784,18.617635
s386.test,256,16,0.102597,18.442784,18.617635
s386.test,256,8,0.117194,18.442784,18.617635
s386.test,256,1,0.868548,18.442784,18.617635
blanks,blanks,blanks,blanks,blanks,blanks
