Fsm,No_of_testcases,No_of_threads,Time taken,Execution GPU Optimised,Total GPU Optimised,Execution GPU Unoptimised,Total GPU Unoptimised
aim.test,524288,32,262.010158,112.953056,239.772503,261.7208,397.559166
aim.test,524288,8,484.695255,112.953056,239.772503,261.7208,397.559166
aim.test,524288,4,818.976773,112.953056,239.772503,261.7208,397.559166
aim.test,524288,1,1975.880999,112.953056,239.772503,261.7208,397.559166
battlefield2.test,524288,32,213.076666,150.09584,303.600112,159.37152,295.539967
battlefield2.test,524288,8,374.086329,150.09584,303.600112,159.37152,295.539967
battlefield2.test,524288,4,689.473232,150.09584,303.600112,159.37152,295.539967
battlefield2.test,524288,1,1864.033749,150.09584,303.600112,159.37152,295.539967
counterstrike-source.test,524288,32,222.152981,81.228896,207.2169,253.480384,395.852102
counterstrike-source.test,524288,8,453.44583,81.228896,207.2169,253.480384,395.852102
counterstrike-source.test,524288,4,767.712127,81.228896,207.2169,253.480384,395.852102
counterstrike-source.test,524288,1,1513.709712,81.228896,207.2169,253.480384,395.852102
dns.test,524288,32,578.243265,198.126688,331.738599,203.507712,341.204741
dns.test,524288,8,692.230711,198.126688,331.738599,203.507712,341.204741
dns.test,524288,4,707.302144,198.126688,331.738599,203.507712,341.204741
dns.test,524288,1,2026.857122,198.126688,331.738599,203.507712,341.204741
h323.test,524288,32,253.310839,135.88736,285.128363,146.616128,283.036324
h323.test,524288,8,424.036205,135.88736,285.128363,146.616128,283.036324
h323.test,524288,4,797.083203,135.88736,285.128363,146.616128,283.036324
h323.test,524288,1,1751.600876,135.88736,285.128363,146.616128,283.036324
halflife2-deathmatch.test,524288,32,248.044792,81.30704,207.419286,212.377984,346.168651
halflife2-deathmatch.test,524288,8,445.10799,81.30704,207.419286,212.377984,346.168651
halflife2-deathmatch.test,524288,4,770.092831,81.30704,207.419286,212.377984,346.168651
halflife2-deathmatch.test,524288,1,1514.13718,81.30704,207.419286,212.377984,346.168651
,,,,,,226.089856,360.773542
,,,,,,226.089856,360.773542
,,,,,,226.089856,360.773542
,,,,,,226.089856,360.773542
,,,,,,143.450016,292.905617
,,,,,,143.450016,292.905617
,,,,,,143.450016,292.905617
,,,,,,143.450016,292.905617
,,,,,,338.480768,474.340254
,,,,,,338.480768,474.340254
,,,,,,338.480768,474.340254
,,,,,,338.480768,474.340254
,,,,,,117.527296,252.506188
,,,,,,117.527296,252.506188
,,,,,,117.527296,252.506188
,,,,,,117.527296,252.506188
,,,,,,255.176384,390.727067
,,,,,,255.176384,390.727067
,,,,,,255.176384,390.727067
,,,,,,255.176384,390.727067
,,,,,,242.244384,378.170414
,,,,,,242.244384,378.170414
,,,,,,242.244384,378.170414
,,,,,,242.244384,378.170414
,,,,,,199.103968,334.328292
,,,,,,199.103968,334.328292
,,,,,,199.103968,334.328292
,,,,,,199.103968,334.328292
,,,,,,225.109408,360.449059
,,,,,,225.109408,360.449059
,,,,,,225.109408,360.449059
,,,,,,225.109408,360.449059
,,,,,,322.111552,457.052334
,,,,,,322.111552,457.052334
,,,,,,322.111552,457.052334
,,,,,,322.111552,457.052334
,,,,,,165.143392,300.556956
,,,,,,165.143392,300.556956
,,,,,,165.143392,300.556956
,,,,,,165.143392,300.556956
,,,,,,206.565088,333.278716
,,,,,,206.565088,333.278716
,,,,,,206.565088,333.278716
,,,,,,206.565088,333.278716
,,,,,,173.416032,308.49639
,,,,,,173.416032,308.49639
,,,,,,173.416032,308.49639
,,,,,,173.416032,308.49639
,,,,,,137.837184,273.065271
,,,,,,137.837184,273.065271
,,,,,,137.837184,273.065271
,,,,,,137.837184,273.065271
,,,,,,138.209664,342.813328
,,,,,,138.209664,342.813328
,,,,,,138.209664,342.813328
,,,,,,138.209664,342.813328
,,,,,,215.61568,351.630681
,,,,,,215.61568,351.630681
,,,,,,215.61568,351.630681
,,,,,,215.61568,351.630681
,,,,,,111.19264,260.782616
,,,,,,111.19264,260.782616
,,,,,,111.19264,260.782616
,,,,,,111.19264,260.782616
