Fsm,No_of_testcases,No_of_threads,Time taken,Execution GPU Optimised,Total GPU Optimised,Execution GPU Unoptimised,Total GPU Unoptimised
aim.test,65536,32,9.078619,4.76768,20.942167,23.842528,41.48364
aim.test,65536,8,17.550806,4.76768,20.942167,23.842528,41.48364
aim.test,65536,4,26.83057,4.76768,20.942167,23.842528,41.48364
aim.test,65536,1,59.715834,4.76768,20.942167,23.842528,41.48364
battlefield2.test,65536,32,11.115054,9.4928,38.455248,12.236704,27.033519
battlefield2.test,65536,8,17.761723,9.4928,38.455248,12.236704,27.033519
battlefield2.test,65536,4,33.167065,9.4928,38.455248,12.236704,27.033519
battlefield2.test,65536,1,80.830766,9.4928,38.455248,12.236704,27.033519
counterstrike-source.test,65536,32,8.370705,3.950432,28.624928,23.79392,41.406955
counterstrike-source.test,65536,8,10.450442,3.950432,28.624928,23.79392,41.406955
counterstrike-source.test,65536,4,17.308242,3.950432,28.624928,23.79392,41.406955
counterstrike-source.test,65536,1,52.177552,3.950432,28.624928,23.79392,41.406955
dayofdefeat-source.test,65536,32,5.643885,2.38464,27.684443,10.23248,38.917317
dayofdefeat-source.test,65536,8,10.309432,2.38464,27.684443,10.23248,38.917317
dayofdefeat-source.test,65536,4,17.846929,2.38464,27.684443,10.23248,38.917317
dayofdefeat-source.test,65536,1,51.708287,2.38464,27.684443,10.23248,38.917317
dhcp.test,65536,32,8.691277,2.632736,27.499153,8.922592,25.779586
dhcp.test,65536,8,11.084184,2.632736,27.499153,8.922592,25.779586
dhcp.test,65536,4,23.864117,2.632736,27.499153,8.922592,25.779586
dhcp.test,65536,1,44.528099,2.632736,27.499153,8.922592,25.779586
dns.test,65536,32,17.354547,59.111136,88.25889,59.42272,77.233718
dns.test,65536,8,15.370422,59.111136,88.25889,59.42272,77.233718
dns.test,65536,4,22.5856,59.111136,88.25889,59.42272,77.233718
dns.test,65536,1,64.320602,59.111136,88.25889,59.42272,77.233718
gopher.test,65536,32,11.570559,6.502336,35.472739,16.619392,33.248775
gopher.test,65536,8,17.192375,6.502336,35.472739,16.619392,33.248775
gopher.test,65536,4,31.789651,6.502336,35.472739,16.619392,33.248775
gopher.test,65536,1,77.063516,6.502336,35.472739,16.619392,33.248775
h323.test,65536,32,9.740504,6.705952,35.618987,8.953632,25.491908
h323.test,65536,8,11.615118,6.705952,35.618987,8.953632,25.491908
h323.test,65536,4,17.243358,6.705952,35.618987,8.953632,25.491908
h323.test,65536,1,50.282054,6.705952,35.618987,8.953632,25.491908
halflife2-deathmatch.test,65536,32,6.982117,3.44368,18.480949,18.174912,35.089655
halflife2-deathmatch.test,65536,8,10.565401,3.44368,18.480949,18.174912,35.089655
halflife2-deathmatch.test,65536,4,18.939597,3.44368,18.480949,18.174912,35.089655
halflife2-deathmatch.test,65536,1,47.969255,3.44368,18.480949,18.174912,35.089655
hotline.test,65536,32,6.657843,7.839744,27.626894,21.248992,50.314107
hotline.test,65536,8,10.011419,7.839744,27.626894,21.248992,50.314107
hotline.test,65536,4,16.733587,7.839744,27.626894,21.248992,50.314107
hotline.test,65536,1,47.211618,7.839744,27.626894,21.248992,50.314107
irc.test,65536,32,11.477321,4.245664,18.960132,19.353184,42.952333
irc.test,65536,8,22.74442,4.245664,18.960132,19.353184,42.952333
irc.test,65536,4,38.788113,4.245664,18.960132,19.353184,42.952333
irc.test,65536,1,62.314896,4.245664,18.960132,19.353184,42.952333
kugoo.test,65536,32,9.28849,3.235456,28.4432,12.105952,28.905896
kugoo.test,65536,8,12.377228,3.235456,28.4432,12.105952,28.905896
kugoo.test,65536,4,17.866135,3.235456,28.4432,12.105952,28.905896
kugoo.test,65536,1,58.374791,3.235456,28.4432,12.105952,28.905896
lpd.test,65536,32,7.867916,4.282432,21.286759,21.578912,38.18691
lpd.test,65536,8,13.825599,4.282432,21.286759,21.578912,38.18691
lpd.test,65536,4,26.612657,4.282432,21.286759,21.578912,38.18691
lpd.test,65536,1,69.847084,4.282432,21.286759,21.578912,38.18691
ncp.test,65536,32,8.57527,4.090048,22.687708,12.755968,48.771167
ncp.test,65536,8,13.896209,4.090048,22.687708,12.755968,48.771167
ncp.test,65536,4,27.267629,4.090048,22.687708,12.755968,48.771167
ncp.test,65536,1,77.6622,4.090048,22.687708,12.755968,48.771167
ntp.test,65536,32,5.776724,3.737952,32.653242,24.617024,53.813229
ntp.test,65536,8,10.26683,3.737952,32.653242,24.617024,53.813229
ntp.test,65536,4,23.677221,3.737952,32.653242,24.617024,53.813229
ntp.test,65536,1,50.64181,3.737952,32.653242,24.617024,53.813229
poco.test,65536,32,5.873455,2.473792,18.076498,7.1744,23.846792
poco.test,65536,8,11.893785,2.473792,18.076498,7.1744,23.846792
poco.test,65536,4,16.585173,2.473792,18.076498,7.1744,23.846792
poco.test,65536,1,48.024851,2.473792,18.076498,7.1744,23.846792
qq.test,65536,32,7.691218,4.307808,30.461409,10.832256,34.722288
qq.test,65536,8,11.924445,4.307808,30.461409,10.832256,34.722288
qq.test,65536,4,17.74098,4.307808,30.461409,10.832256,34.722288
qq.test,65536,1,46.950131,4.307808,30.461409,10.832256,34.722288
rtp.test,65536,32,8.644414,3.269888,28.629049,25.81872,43.495417
rtp.test,65536,8,13.419262,3.269888,28.629049,25.81872,43.495417
rtp.test,65536,4,25.529346,3.269888,28.629049,25.81872,43.495417
rtp.test,65536,1,49.928449,3.269888,28.629049,25.81872,43.495417
runesofmagic.test,65536,32,5.843214,3.093856,31.972991,17.413952,33.842008
runesofmagic.test,65536,8,10.040544,3.093856,31.972991,17.413952,33.842008
runesofmagic.test,65536,4,22.732617,3.093856,31.972991,17.413952,33.842008
runesofmagic.test,65536,1,46.98987,3.093856,31.972991,17.413952,33.842008
skypetoskype.test,65536,32,10.413777,7.215744,23.460228,17.123296,34.10929
skypetoskype.test,65536,8,11.924867,7.215744,23.460228,17.123296,34.10929
skypetoskype.test,65536,4,16.934942,7.215744,23.460228,17.123296,34.10929
skypetoskype.test,65536,1,40.4875,7.215744,23.460228,17.123296,34.10929
soribada.test,65536,32,7.068861,2.89088,28.356112,12.00432,29.4501
soribada.test,65536,8,10.758794,2.89088,28.356112,12.00432,29.4501
soribada.test,65536,4,21.897875,2.89088,28.356112,12.00432,29.4501
soribada.test,65536,1,52.254246,2.89088,28.356112,12.00432,29.4501
soulseek.test,65536,32,13.228248,8.3952,25.522994,20.25168,39.795081
soulseek.test,65536,8,18.779454,8.3952,25.522994,20.25168,39.795081
soulseek.test,65536,4,30.947858,8.3952,25.522994,20.25168,39.795081
soulseek.test,65536,1,114.865417,8.3952,25.522994,20.25168,39.795081
ssl.test,65536,32,8.318743,12.057504,28.317559,15.3784,34.825724
ssl.test,65536,8,15.422386,12.057504,28.317559,15.3784,34.825724
ssl.test,65536,4,22.822296,12.057504,28.317559,15.3784,34.825724
ssl.test,65536,1,50.455758,12.057504,28.317559,15.3784,34.825724
stun.test,65536,32,5.890287,3.05728,23.339262,18.485056,44.769465
stun.test,65536,8,12.582144,3.05728,23.339262,18.485056,44.769465
stun.test,65536,4,16.895551,3.05728,23.339262,18.485056,44.769465
stun.test,65536,1,46.62279,3.05728,23.339262,18.485056,44.769465
subspace.test,65536,32,5.684115,2.711296,18.64068,12.434272,27.800376
subspace.test,65536,8,10.014494,2.711296,18.64068,12.434272,27.800376
subspace.test,65536,4,16.879209,2.711296,18.64068,12.434272,27.800376
subspace.test,65536,1,49.479585,2.711296,18.64068,12.434272,27.800376
teamfortress2.test,65536,32,5.459016,2.701984,31.57685,12.578176,48.548096
teamfortress2.test,65536,8,10.384025,2.701984,31.57685,12.578176,48.548096
teamfortress2.test,65536,4,19.985197,2.701984,31.57685,12.578176,48.548096
teamfortress2.test,65536,1,40.779088,2.701984,31.57685,12.578176,48.548096
teamspeak.test,65536,32,8.026318,2.57872,18.723302,11.8344,28.164808
teamspeak.test,65536,8,11.264376,2.57872,18.723302,11.8344,28.164808
teamspeak.test,65536,4,20.032968,2.57872,18.723302,11.8344,28.164808
teamspeak.test,65536,1,51.57853,2.57872,18.723302,11.8344,28.164808
tftp.test,65536,32,9.068073,2.51712,17.839459,9.086688,42.539708
tftp.test,65536,8,14.660206,2.51712,17.839459,9.086688,42.539708
tftp.test,65536,4,26.195707,2.51712,17.839459,9.086688,42.539708
tftp.test,65536,1,62.469953,2.51712,17.839459,9.086688,42.539708
tsp.test,65536,32,7.175369,11.478816,31.529288,22.536992,48.612769
tsp.test,65536,8,12.436525,11.478816,31.529288,22.536992,48.612769
tsp.test,65536,4,21.241086,11.478816,31.529288,22.536992,48.612769
tsp.test,65536,1,62.263362,11.478816,31.529288,22.536992,48.612769
xboxlive.test,65536,32,5.311092,2.448064,31.358386,10.1736,24.843989
xboxlive.test,65536,8,10.225135,2.448064,31.358386,10.1736,24.843989
xboxlive.test,65536,4,18.429828,2.448064,31.358386,10.1736,24.843989
xboxlive.test,65536,1,51.311107,2.448064,31.358386,10.1736,24.843989
yahoo.test,65536,32,8.385861,7.453728,26.077605,9.731456,25.977026
yahoo.test,65536,8,13.209949,7.453728,26.077605,9.731456,25.977026
yahoo.test,65536,4,19.799558,7.453728,26.077605,9.731456,25.977026
yahoo.test,65536,1,53.51167,7.453728,26.077605,9.731456,25.977026
