FSM,Testcases,Cores,Total CPU,Execution GPU,Total GPU
aim.test,1344963,32,41.309116,192.104544,237.235373
aim.test,1344963,16,47.405644,192.104544,237.235373
aim.test,1344963,8,114.127406,192.104544,237.235373
aim.test,1344963,1,514.856627,192.104544,237.235373
aim.test,1048576,32,31.872909,143.849408,191.513954
aim.test,1048576,16,56.727731,143.849408,191.513954
aim.test,1048576,8,69.338021,143.849408,191.513954
aim.test,1048576,1,397.979634,143.849408,191.513954
aim.test,524288,32,18.916973,72.724288,96.408074
aim.test,524288,16,33.076556,72.724288,96.408074
aim.test,524288,8,38.319902,72.724288,96.408074
aim.test,524288,1,200.019804,72.724288,96.408074
aim.test,262144,32,14.483997,37.661088,51.552689
aim.test,262144,16,17.353782,37.661088,51.552689
aim.test,262144,8,21.175575,37.661088,51.552689
aim.test,262144,1,124.756784,37.661088,51.552689
aim.test,131072,32,10.204602,20.223904,23.894153
aim.test,131072,16,11.46091,20.223904,23.894153
aim.test,131072,8,11.511406,20.223904,23.894153
aim.test,131072,1,48.62361,20.223904,23.894153
aim.test,65536,32,3.492841,11.814464,14.025697
aim.test,65536,16,5.970466,11.814464,14.025697
aim.test,65536,8,7.057547,11.814464,14.025697
aim.test,65536,1,24.3359,11.814464,14.025697
aim.test,32768,32,3.821863,7.522752,8.790663
aim.test,32768,16,3.482504,7.522752,8.790663
aim.test,32768,8,3.065201,7.522752,8.790663
aim.test,32768,1,15.913023,7.522752,8.790663
aim.test,16384,32,5.123498,3.473632,4.262143
aim.test,16384,16,1.040149,3.473632,4.262143
aim.test,16384,8,1.885928,3.473632,4.262143
aim.test,16384,1,7.953683,3.473632,4.262143
aim.test,8192,32,4.308518,2.525536,3.061918
aim.test,8192,16,0.562503,2.525536,3.061918
aim.test,8192,8,1.025971,2.525536,3.061918
aim.test,8192,1,3.973838,2.525536,3.061918
aim.test,4096,32,2.493339,1.929632,2.319784
aim.test,4096,16,0.287886,1.929632,2.319784
aim.test,4096,8,0.518154,1.929632,2.319784
aim.test,4096,1,2.007382,1.929632,2.319784
aim.test,256,32,4.436118,1.91456,2.085535
aim.test,256,16,0.028146,1.91456,2.085535
aim.test,256,8,0.045955,1.91456,2.085535
aim.test,256,1,0.121734,1.91456,2.085535
battlefield2.test,1476796,32,69.608098,188.01952,262.455395
battlefield2.test,1476796,16,119.877731,188.01952,262.455395
battlefield2.test,1476796,8,188.197673,188.01952,262.455395
battlefield2.test,1476796,1,888.257244,188.01952,262.455395
battlefield2.test,1048576,32,52.512311,131.230688,169.020123
battlefield2.test,1048576,16,87.861438,131.230688,169.020123
battlefield2.test,1048576,8,104.21467,131.230688,169.020123
battlefield2.test,1048576,1,630.048347,131.230688,169.020123
battlefield2.test,524288,32,31.33932,66.512768,83.579808
battlefield2.test,524288,16,31.062958,66.512768,83.579808
battlefield2.test,524288,8,59.037457,66.512768,83.579808
battlefield2.test,524288,1,315.164939,66.512768,83.579808
battlefield2.test,262144,32,15.091897,34.55728,42.678496
battlefield2.test,262144,16,22.996132,34.55728,42.678496
battlefield2.test,262144,8,25.540106,34.55728,42.678496
battlefield2.test,262144,1,164.95584,34.55728,42.678496
battlefield2.test,131072,32,12.803752,18.529376,22.272714
battlefield2.test,131072,16,9.373908,18.529376,22.272714
battlefield2.test,131072,8,17.423693,18.529376,22.272714
battlefield2.test,131072,1,77.587274,18.529376,22.272714
battlefield2.test,65536,32,5.43995,10.667968,12.551135
battlefield2.test,65536,16,7.241998,10.667968,12.551135
battlefield2.test,65536,8,9.839681,10.667968,12.551135
battlefield2.test,65536,1,38.741046,10.667968,12.551135
battlefield2.test,32768,32,3.414688,6.281824,7.484278
battlefield2.test,32768,16,3.007651,6.281824,7.484278
battlefield2.test,32768,8,5.093955,6.281824,7.484278
battlefield2.test,32768,1,25.292099,6.281824,7.484278
battlefield2.test,16384,32,1.384676,2.963712,3.727787
battlefield2.test,16384,16,1.644416,2.963712,3.727787
battlefield2.test,16384,8,2.785346,2.963712,3.727787
battlefield2.test,16384,1,12.702342,2.963712,3.727787
battlefield2.test,8192,32,0.793329,2.168256,2.739111
battlefield2.test,8192,16,1.534068,2.168256,2.739111
battlefield2.test,8192,8,1.508226,2.168256,2.739111
battlefield2.test,8192,1,8.709018,2.168256,2.739111
battlefield2.test,4096,32,0.368554,1.517088,2.041815
battlefield2.test,4096,16,0.833418,1.517088,2.041815
battlefield2.test,4096,8,0.824758,1.517088,2.041815
battlefield2.test,4096,1,3.204325,1.517088,2.041815
battlefield2.test,256,32,4.445547,1.40768,1.622906
battlefield2.test,256,16,0.048191,1.40768,1.622906
battlefield2.test,256,8,0.060343,1.40768,1.622906
battlefield2.test,256,1,0.437277,1.40768,1.622906
counterstrike-source.test,1472463,32,298.05686,476.463648,521.391341
counterstrike-source.test,1472463,16,367.029541,476.463648,521.391341
counterstrike-source.test,1472463,8,550.877489,476.463648,521.391341
counterstrike-source.test,1472463,1,3928.051099,476.463648,521.391341
counterstrike-source.test,1048576,32,215.007497,304.605056,351.453433
counterstrike-source.test,1048576,16,228.358945,304.605056,351.453433
counterstrike-source.test,1048576,8,499.95854,304.605056,351.453433
counterstrike-source.test,1048576,1,2789.830718,304.605056,351.453433
counterstrike-source.test,524288,32,155.321074,155.498016,174.141386
counterstrike-source.test,524288,16,156.632975,155.498016,174.141386
counterstrike-source.test,524288,8,249.952661,155.498016,174.141386
counterstrike-source.test,524288,1,1395.451357,155.498016,174.141386
counterstrike-source.test,262144,32,83.952483,78.888608,87.150941
counterstrike-source.test,262144,16,111.720949,78.888608,87.150941
counterstrike-source.test,262144,8,114.726785,78.888608,87.150941
counterstrike-source.test,262144,1,699.391746,78.888608,87.150941
counterstrike-source.test,131072,32,30.706975,43.110048,49.069058
counterstrike-source.test,131072,16,31.813055,43.110048,49.069058
counterstrike-source.test,131072,8,57.545923,43.110048,49.069058
counterstrike-source.test,131072,1,349.415111,43.110048,49.069058
counterstrike-source.test,65536,32,23.393739,25.133184,27.352561
counterstrike-source.test,65536,16,27.040789,25.133184,27.352561
counterstrike-source.test,65536,8,28.815879,25.133184,27.352561
counterstrike-source.test,65536,1,174.89714,25.133184,27.352561
counterstrike-source.test,32768,32,14.448517,16.2176,17.317254
counterstrike-source.test,32768,16,10.534673,16.2176,17.317254
counterstrike-source.test,32768,8,14.458295,16.2176,17.317254
counterstrike-source.test,32768,1,87.509227,16.2176,17.317254
counterstrike-source.test,16384,32,5.808293,7.24448,8.103213
counterstrike-source.test,16384,16,6.940144,7.24448,8.103213
counterstrike-source.test,16384,8,9.635046,7.24448,8.103213
counterstrike-source.test,16384,1,57.108296,7.24448,8.103213
counterstrike-source.test,8192,32,3.358326,5.002432,5.534584
counterstrike-source.test,8192,16,3.490535,5.002432,5.534584
counterstrike-source.test,8192,8,5.239365,5.002432,5.534584
