FSM,Testcases,Cores,Total CPU,Execution GPU,Total GPU
counterstrike-source.test,262144,16,96.212455,80.084864,89.519339
counterstrike-source.test,262144,8,97.098044,80.084864,89.519339
counterstrike-source.test,262144,1,698.640018,80.084864,89.519339
counterstrike-source.test,131072,32,28.635341,43.116768,47.773433
counterstrike-source.test,131072,16,28.877341,43.116768,47.773433
counterstrike-source.test,131072,8,70.918468,43.116768,47.773433
counterstrike-source.test,131072,1,348.455931,43.116768,47.773433
counterstrike-source.test,65536,32,14.268607,25.15872,27.360316
counterstrike-source.test,65536,16,22.964565,25.15872,27.360316
counterstrike-source.test,65536,8,28.722853,25.15872,27.360316
counterstrike-source.test,65536,1,173.918254,25.15872,27.360316
counterstrike-source.test,32768,32,7.242418,15.041152,16.286047
counterstrike-source.test,32768,16,12.881765,15.041152,16.286047
counterstrike-source.test,32768,8,14.488258,15.041152,16.286047
counterstrike-source.test,32768,1,87.082571,15.041152,16.286047
counterstrike-source.test,16384,32,3.923064,7.3168,8.072135
counterstrike-source.test,16384,16,6.559159,7.3168,8.072135
counterstrike-source.test,16384,8,7.229637,7.3168,8.072135
counterstrike-source.test,16384,1,43.584552,7.3168,8.072135
counterstrike-source.test,8192,32,2.412184,5.03696,5.509582
counterstrike-source.test,8192,16,4.631117,5.03696,5.509582
counterstrike-source.test,8192,8,3.664999,5.03696,5.509582
counterstrike-source.test,8192,1,21.827127,5.03696,5.509582
counterstrike-source.test,4096,32,1.510252,4.373056,4.736507
counterstrike-source.test,4096,16,2.239257,4.373056,4.736507
counterstrike-source.test,4096,8,2.011224,4.373056,4.736507
counterstrike-source.test,4096,1,14.396486,4.373056,4.736507
counterstrike-source.test,2048,32,0.743602,4.352352,4.742513
counterstrike-source.test,2048,16,0.921139,4.352352,4.742513
counterstrike-source.test,2048,8,1.371336,4.352352,4.742513
counterstrike-source.test,2048,1,7.317567,4.352352,4.742513
dns.test,8533671,32,200.643152,444.394432,705.8068
dns.test,8533671,16,314.421219,444.394432,705.8068
dns.test,8533671,8,584.058638,444.394432,705.8068
dns.test,8533671,1,1137.891855,444.394432,705.8068
dns.test,4194304,32,96.314214,417.139712,550.290649
dns.test,4194304,16,228.244282,417.139712,550.290649
dns.test,4194304,8,292.64794,417.139712,550.290649
dns.test,4194304,1,1016.218213,417.139712,550.290649
dns.test,2097152,32,111.453325,412.626272,480.272786
dns.test,2097152,16,88.486594,412.626272,480.272786
dns.test,2097152,8,191.995315,412.626272,480.272786
dns.test,2097152,1,957.914087,412.626272,480.272786
dns.test,1048576,32,40.644437,245.57872,285.70151
dns.test,1048576,16,79.521747,245.57872,285.70151
dns.test,1048576,8,93.261654,245.57872,285.70151
dns.test,1048576,1,566.119095,245.57872,285.70151
dns.test,524288,32,21.87015,123.610336,154.500657
dns.test,524288,16,35.629682,123.610336,154.500657
dns.test,524288,8,41.823361,123.610336,154.500657
dns.test,524288,1,280.764069,123.610336,154.500657
dns.test,262144,32,10.975164,62.857568,72.621412
dns.test,262144,16,18.620288,62.857568,72.621412
dns.test,262144,8,23.005562,62.857568,72.621412
dns.test,262144,1,140.56233,62.857568,72.621412
dns.test,131072,32,5.890357,33.896352,37.74923
dns.test,131072,16,9.440677,33.896352,37.74923
dns.test,131072,8,11.569515,33.896352,37.74923
dns.test,131072,1,69.943551,33.896352,37.74923
dns.test,65536,32,3.403443,18.27136,20.303885
dns.test,65536,16,5.382261,18.27136,20.303885
dns.test,65536,8,5.926326,18.27136,20.303885
dns.test,65536,1,35.06676,18.27136,20.303885
dns.test,32768,32,2.246869,12.64672,13.753387
